source_file,speaker,topic,notes
"[黃嘉藍單板教學] “膝蓋內扣”到底科不科學？.txt",黃嘉藍,八字刻滑與膝蓋內扣,討論八字刻滑中膝蓋內扣的動作是否科學，強調以髖關節主導，而非主動內扣膝蓋。
"[黃嘉藍單板教學] 360隨便跳！你只需要做這三步！....txt",黃嘉藍,外轉360跳台教學,分解為三個步驟：1. 熟練平地180連接；2. 學習正確的起跳路線；3. 落地技巧。
"[黃嘉藍單板教學] CASI一级教练滑行技术要点.txt",黃嘉藍,CASI一级教練考試要點,講解三個核心考點：中位與移動、下半身主導轉彎、有效的刃上平衡。
"[黃嘉藍單板教學] 會換刃了該學什麼？搓雪回轉最重要.txt",黃嘉藍,搓雪迴轉入門,講解從換刃到搓雪迴轉的要點：圓弧路徑、全身軸轉、傾倒與折疊。
"[黃嘉藍單板教學] 你中招了嗎？單板滑行最容易犯的误区.txt",黃嘉藍,三大滑行誤區糾正,分析開肩、頂胯、前刃哈腰三個常見錯誤並提供糾正方法。
"[黃嘉藍單板教學] 單板 Ollie 教學.txt",黃嘉藍,Ollie教學,分解Ollie動作為三步：壓板頭、轉移重心至板尾、蹬地起跳。
"[黃嘉藍單板教學] 進階篇（四）入門刻滑 - 走刃教學.txt",黃嘉藍,刻滑入門（走刃）,講解走刃基礎，強調傾倒與折疊，並練習橫切坡走刃。
"[黃嘉藍單板教學] 初级教程（一）入门介绍.txt",黃嘉藍,新手入門介紹,介紹雪板各部位名稱、如何判斷前腳、如何穿脫固定器。
"[黃嘉藍單板教學] 初级教程（二）基础站姿.txt",黃嘉藍,基礎站姿,教學員建立「運動員姿態」。
"[黃嘉藍單板教學] 初级教程（十）换刃.txt",黃嘉藍,換刃,初級教程最終章，整合技巧完成S彎。
"[黃嘉藍單板教學] 反拧旋转 - 各种滑行风格的必备技巧.txt",黃嘉藍,反擰旋轉,教學使用上下半身分離來快速轉向或減速。
"[黃嘉藍單板教學] 蘑菇道 - 从零起飞教学.txt",黃嘉藍,饅頭滑行,教學如何在饅頭或不平整地形中，通過吸收與伸展來保持穩定。
"[黃嘉藍單板教學] 小树林滑行该如何安全快速入门？....txt",黃嘉藍,樹林滑行,講解在樹林中滑行需要結合搓雪、走刃和反擰，並強調路線選擇。
"[黃嘉藍單板教學] 软雪粘雪怎么滑？....txt",黃嘉藍,特殊雪況應對,講解在軟雪、粘雪、冰面等情況下，應以關節折疊優先於身體傾倒。
"01 如何增加换刃效率_Sam.txt",Sam,換刃效率,討論如何透過減少身體起伏、利用腳踝和滾刃練習來提升換刃效率。
"02 下半身带“不动”转弯的原因_Sam.txt",Sam,轉彎啟動,分析因站姿過低導致膝蓋被憋住，無法有效用下半身帶動轉彎的問題。
"03 开放站姿还是闭合站姿？讲清楚_Sam.txt",Sam,開放式與閉合式站姿,比較開放站姿（換刃快，適合粉雪）與閉合站姿（控速好，適合冰面）的優缺點與適用場景。
"04 让板子的形变：在弯型里早点发生_Sam.txt",Sam,壓力控制,教學如何在彎型的上半段（滾落線之前）就開始施壓，讓雪板更早發生形變，從而縮小彎型。
"05 后刃突突：可能你腿太“长”_Sam.txt",Sam,後刃穩定,分析後刃抖動（突突）的原因之一是後腿在彎末過度蹬直，應保持膝蓋和腳踝的彎曲。
"20 5步教会你：前刃摸地刻滑.txt",Sam,前刃刻滑,通過五個步驟教學前刃摸地刻滑：1.傾倒走線 2.下降身體 3.摸雪 4.延伸腿 5.在滾落線完成動作。
"41 什么是立刃？如何立刃？你需要哪种立刃方式.txt",Sam,立刃基礎,講解傾倒立刃與折疊立刃的區別，以及在不同雪況下的應用選擇。
